user_id,date,channel,touch_order,is_last_touch,region
1,2026-01-01 00:00:00,Influencer,1,False,Region_A
1,2026-01-01 06:00:00,Paid Search,2,False,Region_A
1,2026-01-01 12:00:00,Paid Search,3,True,Region_A
2,2026-01-01 00:00:00,Influencer,1,True,Region_B
3,2026-01-01 00:00:00,Paid Social,1,True,Region_B
4,2026-01-01 00:00:00,Paid Social,1,False,Region_B
4,2026-01-01 06:00:00,Paid Social,2,True,Region_B
5,2026-01-01 00:00:00,Paid Social,1,True,Region_A
6,2026-01-01 00:00:00,Influencer,1,True,Region_B
7,2026-01-01 00:00:00,Paid Social,1,False,Region_B
7,2026-01-01 06:00:00,Organic,2,True,Region_B
8,2026-01-01 00:00:00,Referral,1,True,Region_A
9,2026-01-01 00:00:00,Paid Social,1,True,Region_B
10,2026-01-01 00:00:00,Influencer,1,False,Region_A
10,2026-01-01 06:00:00,Direct,2,True,Region_A
11,2026-01-01 00:00:00,Referral,1,False,Region_B
11,2026-01-01 06:00:00,Direct,2,False,Region_B
11,2026-01-01 12:00:00,Direct,3,True,Region_B
12,2026-01-01 00:00:00,Paid Social,1,True,Region_A
13,2026-01-01 00:00:00,Paid Search,1,False,Region_A
13,2026-01-01 06:00:00,Paid Search,2,True,Region_A
14,2026-01-01 00:00:00,Paid Social,1,False,Region_A
14,2026-01-01 06:00:00,Paid Social,2,True,Region_A
15,2026-01-01 00:00:00,Influencer,1,False,Region_B
15,2026-01-01 06:00:00,Paid Social,2,True,Region_B
16,2026-01-01 00:00:00,Paid Social,1,False,Region_A
16,2026-01-01 06:00:00,Influencer,2,False,Region_A
16,2026-01-01 12:00:00,Referral,3,True,Region_A
17,2026-01-01 00:00:00,Influencer,1,False,Region_B
17,2026-01-01 06:00:00,Direct,2,False,Region_B
17,2026-01-01 12:00:00,Paid Search,3,True,Region_B
18,2026-01-01 00:00:00,Influencer,1,False,Region_B
18,2026-01-01 06:00:00,Paid Search,2,False,Region_B
18,2026-01-01 12:00:00,Paid Social,3,True,Region_B
19,2026-01-01 00:00:00,Paid Social,1,True,Region_B
20,2026-01-01 00:00:00,Paid Search,1,False,Region_B
20,2026-01-01 06:00:00,Paid Search,2,True,Region_B
21,2026-01-01 00:00:00,Paid Social,1,True,Region_B
22,2026-01-01 00:00:00,Paid Social,1,True,Region_A
23,2026-01-01 00:00:00,Direct,1,False,Region_B
23,2026-01-01 06:00:00,Direct,2,True,Region_B
24,2026-01-01 00:00:00,Paid Social,1,False,Region_B
24,2026-01-01 06:00:00,Paid Social,2,False,Region_B
24,2026-01-01 12:00:00,Paid Search,3,True,Region_B
25,2026-01-01 00:00:00,Paid Social,1,True,Region_B
26,2026-01-01 00:00:00,Influencer,1,False,Region_A
26,2026-01-01 06:00:00,Paid Search,2,True,Region_A
27,2026-01-01 00:00:00,Influencer,1,False,Region_A
27,2026-01-01 06:00:00,Paid Search,2,True,Region_A
28,2026-01-01 00:00:00,Direct,1,False,Region_B
28,2026-01-01 06:00:00,Paid Search,2,True,Region_B
29,2026-01-01 00:00:00,Paid Search,1,False,Region_B
29,2026-01-01 06:00:00,Direct,2,False,Region_B
29,2026-01-01 12:00:00,Referral,3,True,Region_B
30,2026-01-01 00:00:00,Paid Social,1,False,Region_B
30,2026-01-01 06:00:00,Influencer,2,True,Region_B
31,2026-01-01 00:00:00,Referral,1,True,Region_B
32,2026-01-01 00:00:00,Paid Social,1,False,Region_A
32,2026-01-01 06:00:00,Organic,2,False,Region_A
32,2026-01-01 12:00:00,Paid Social,3,False,Region_A
32,2026-01-01 18:00:00,Paid Social,4,True,Region_A
33,2026-01-01 00:00:00,Paid Social,1,False,Region_B
33,2026-01-01 06:00:00,Paid Search,2,True,Region_B
34,2026-01-01 00:00:00,Paid Social,1,False,Region_B
34,2026-01-01 06:00:00,Paid Social,2,True,Region_B
35,2026-01-01 00:00:00,Paid Social,1,False,Region_A
35,2026-01-01 06:00:00,Paid Social,2,False,Region_A
35,2026-01-01 12:00:00,Paid Search,3,True,Region_A
36,2026-01-01 00:00:00,Paid Search,1,False,Region_A
36,2026-01-01 06:00:00,Paid Social,2,False,Region_A
36,2026-01-01 12:00:00,Organic,3,True,Region_A
37,2026-01-01 00:00:00,Direct,1,False,Region_B
37,2026-01-01 06:00:00,Paid Search,2,False,Region_B
37,2026-01-01 12:00:00,Direct,3,False,Region_B
37,2026-01-01 18:00:00,Influencer,4,True,Region_B
38,2026-01-01 00:00:00,Paid Social,1,False,Region_B
38,2026-01-01 06:00:00,Organic,2,False,Region_B
38,2026-01-01 12:00:00,Paid Social,3,False,Region_B
38,2026-01-01 18:00:00,Paid Search,4,True,Region_B
39,2026-01-01 00:00:00,Influencer,1,False,Region_B
39,2026-01-01 06:00:00,Referral,2,True,Region_B
40,2026-01-01 00:00:00,Influencer,1,False,Region_B
40,2026-01-01 06:00:00,Paid Search,2,True,Region_B
41,2026-01-01 00:00:00,Organic,1,False,Region_B
41,2026-01-01 06:00:00,Organic,2,True,Region_B
42,2026-01-01 00:00:00,Influencer,1,False,Region_B
42,2026-01-01 06:00:00,Direct,2,True,Region_B
43,2026-01-01 00:00:00,Paid Social,1,True,Region_B
44,2026-01-01 00:00:00,Paid Search,1,False,Region_A
44,2026-01-01 06:00:00,Direct,2,False,Region_A
44,2026-01-01 12:00:00,Referral,3,False,Region_A
44,2026-01-01 18:00:00,Direct,4,True,Region_A
45,2026-01-01 00:00:00,Paid Search,1,False,Region_A
45,2026-01-01 06:00:00,Referral,2,False,Region_A
45,2026-01-01 12:00:00,Influencer,3,False,Region_A
45,2026-01-01 18:00:00,Direct,4,True,Region_A
46,2026-01-01 00:00:00,Direct,1,False,Region_B
46,2026-01-01 06:00:00,Paid Social,2,True,Region_B
47,2026-01-01 00:00:00,Influencer,1,True,Region_B
48,2026-01-01 00:00:00,Influencer,1,True,Region_A
49,2026-01-01 00:00:00,Paid Social,1,False,Region_A
